Year,LocationAbbr,LocationDesc,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Number,WeightedNumber,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1
2016,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.8,351,53511,8.5,11.2,Overall,Overall
2016,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.9,3061,691197,5.5,6.3,Overall,Overall
2016,FL,Florida,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,27.9,12967,4744369,26.9,28.9,Overall,Overall
2016,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.6,4808,2354109,9.1,10.1,Overall,Overall
2016,FL,Florida,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,13.1,4846,2074410,12.3,13.9,Overall,Overall
2016,HI,Hawaii,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,79.5,5862,846676,78.1,80.7,Overall,Overall
2016,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.6,218,24050,3.9,5.5,Overall,Overall
2016,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,22.4,12087,2656404,21.7,23.1,Overall,Overall
2016,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.1,990,335183,2.8,3.4,Overall,Overall
2016,GU,Guam,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.6,83,6412,4.9,8.9,Overall,Overall
2016,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.9,8355,3447114,12.4,13.4,Overall,Overall
2016,HI,Hawaii,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,9.2,990,110208,8.4,10.1,Overall,Overall
2016,GA,Georgia,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.3,455,565426,6.4,8.3,Overall,Overall
2016,GU,Guam,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,8.8,118,8421,6.8,11.2,Overall,Overall
2016,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10.6,3965,1187924,10.2,11.1,Overall,Overall
2016,FL,Florida,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5,3478,972406,4.6,5.5,Overall,Overall
2016,GA,Georgia,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,12.2,586,923776,10.9,13.5,Overall,Overall
2016,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,10,6674,1279370,9.6,10.5,Overall,Overall
2016,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24,13790,6119303,23.3,24.7,Overall,Overall
2016,FL,Florida,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4.5,2054,757688,4,5,Overall,Overall
2016,HI,Hawaii,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.5,349,51106,3.9,5.3,Overall,Overall
2016,HI,Hawaii,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,20.5,1939,236073,19.3,21.9,Overall,Overall
2016,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.1,228,26894,4.3,6,Overall,Overall
2016,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.9,1929,554413,4.6,5.2,Overall,Overall
2016,GA,Georgia,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,26.3,1673,2033265,24.8,28,Overall,Overall
2016,GU,Guam,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,75.9,1158,79164,72.7,78.7,Overall,Overall
2016,HI,Hawaii,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,4.9,418,54789,4.2,5.7,Overall,Overall
2016,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.1,154,16198,2.6,3.8,Overall,Overall
2016,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.1,3507,660043,4.7,5.4,Overall,Overall
2016,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6.7,3957,1736902,6.3,7.2,Overall,Overall
2016,GU,Guam,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.6,197,11849,10.5,15.1,Overall,Overall
2016,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76,32806,17892725,75.3,76.7,Overall,Overall
2016,FL,Florida,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,72.1,22306,10917323,71.1,73.1,Overall,Overall
2016,GA,Georgia,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,14.6,1073,1160354,13.5,15.8,Overall,Overall
2016,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.8,1563,345028,2.5,3.1,Overall,Overall
2016,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,23.1,1016,122063,21.4,24.7,Overall,Overall
2016,FL,Florida,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,14.2,7906,2545981,13.4,14.9,Overall,Overall
2016,HI,Hawaii,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,8.6,690,93586,7.6,9.6,Overall,Overall
2016,HI,Hawaii,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.8,587,70269,5.1,6.7,Overall,Overall
2016,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4.3,3030,1173637,4.1,4.7,Overall,Overall
2016,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,22.7,7102,2412757,22,23.3,Overall,Overall
2016,HHS2,HHS Region 2,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.7,2155,983454,3.4,4,Overall,Overall
2016,GU,Guam,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.1,79,5063,3.8,6.9,Overall,Overall
2016,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,77.6,34079,8603584,76.9,78.3,Overall,Overall
2016,GU,Guam,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,7.9,106,7810,6,10.3,Overall,Overall
2016,HHS10,HHS Region 10,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,77.3,19665,7809754,76.7,78,Overall,Overall
2016,DC,District of Columbia,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12.1,609,61735,11,13.2,Overall,Overall
2016,HHS1,HHS Region 1,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.9,1877,465773,3.5,4.2,Overall,Overall
2016,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,28.2,30935,14637115,27.7,28.8,Overall,Overall
2016,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.2,3455,1066514,9.6,10.9,Overall,Overall
2016,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76.4,43158,29382842,75.8,76.9,Overall,Overall
2016,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.7,2371,930798,3.4,4,Overall,Overall
2016,HHS8,HHS Region 8,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5,2638,431283,4.7,5.3,Overall,Overall
2016,HHS9,HHS Region 9,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,4.2,1775,1642255,3.9,4.6,Overall,Overall
2016,ID,Idaho,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.4,476,113525,8.3,10.8,Overall,Overall
2016,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,23.6,17138,9745029,23.1,24.2,Overall,Overall
2016,HHS8,HHS Region 8,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.4,1440,210018,2.2,2.6,Overall,Overall
2016,ID,Idaho,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,2.9,192,35996,2.3,3.5,Overall,Overall
2016,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,11.4,4097,3454924,10.7,12.2,Overall,Overall
2016,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,3.3,2295,1380514,3.1,3.5,Overall,Overall
2016,ID,Idaho,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,4,354,52672,3.4,4.6,Overall,Overall
2016,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.7,6428,1356729,11.2,12.3,Overall,Overall
2016,HHS9,HHS Region 9,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,9.8,3384,3644604,9.2,10.4,Overall,Overall
2016,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.8,8455,4042431,7.5,8.1,Overall,Overall
2016,ID,Idaho,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,78.9,3681,931236,77.2,80.4,Overall,Overall
2016,HHS8,HHS Region 8,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,79.7,33880,6661670,79.2,80.2,Overall,Overall
2016,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10,4713,2330057,9.5,10.6,Overall,Overall
2016,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,4,1931,1256606,3.6,4.4,Overall,Overall
2016,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,23.3,13736,5768158,22.7,24,Overall,Overall
2016,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,12,9887,5204979,11.7,12.4,Overall,Overall
2016,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,7.1,3239,2181324,6.5,7.7,Overall,Overall
2016,HHS9,HHS Region 9,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,11.4,5366,4482301,10.9,12,Overall,Overall
2016,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,6,3664,701297,5.6,6.3,Overall,Overall
2016,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,71.8,54438,34103071,71.2,72.3,Overall,Overall
2016,HHS9,HHS Region 9,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,77.1,25035,28028690,76.3,77.8,Overall,Overall
2016,HHS8,HHS Region 8,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,20.3,11738,1742751,19.8,20.8,Overall,Overall
2016,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,24.1,11320,2652061,23.2,24.9,Overall,Overall
2016,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Self-care Disability,%,Age-adjusted Prevalence,2.9,1862,740618,2.6,3.2,Overall,Overall
2016,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,76.7,33914,17623096,76,77.3,Overall,Overall
2016,HHS9,HHS Region 9,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,22.9,9694,8715574,22.2,23.7,Overall,Overall
2016,ID,Idaho,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,5.8,360,71510,5,6.8,Overall,Overall
2016,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,5.5,6144,2906478,5.3,5.8,Overall,Overall
2016,HHS8,HHS Region 8,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,8.3,3580,696858,7.9,8.7,Overall,Overall
2016,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Mobility Disability,%,Age-adjusted Prevalence,15.2,19266,8270017,14.9,15.6,Overall,Overall
2016,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Cognitive Disability,%,Age-adjusted Prevalence,10.5,5963,4087933,10.1,11,Overall,Overall
2016,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Any Disability,%,Age-adjusted Prevalence,26.5,11935,8138983,25.5,27.6,Overall,Overall
2016,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,No Disability,%,Age-adjusted Prevalence,73.5,21858,21777261,72.4,74.5,Overall,Overall
2016,HHS5,HHS Region 5,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.6,2700,1539652,3.4,3.9,Overall,Overall
2016,HHS7,HHS Region 7,Disability status and types among adults 18 years of age or older,Vision Disability,%,Age-adjusted Prevalence,3.7,1658,408598,3.3,4,Overall,Overall
2016,HHS4,HHS Region 4,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.9,8210,3302960,5.7,6.2,Overall,Overall
2016,HHS9,HHS Region 9,Disability status and types among adults 18 years of age or older,Independent Living Disability,%,Age-adjusted Prevalence,6,2325,2268591,5.5,6.4,Overall,Overall
2016,HHS3,HHS Region 3,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5,3759,1338192,4.7,5.3,Overall,Overall
2016,HHS6,HHS Region 6,Disability status and types among adults 18 years of age or older,Hearing Disability,%,Age-adjusted Prevalence,5.9,3343,1850361,5.4,6.4,Overall,Overall
